"title","vote_average","release_date","revenue","budget","original_language","overview","genres"
"House Party",6.367,"1990-03-09",26386000,2500000,"en","Young Kid has been invited to a party at his friend Play's house. But after a fight at school, Kid's father grounds him. None the less, Kid sneaks out when his father falls asleep. But Kid doesn't know that three of the thugs at school have decided to give him a lesson in behavior.","Comedy"
"Joe Versus the Volcano",5.705,"1990-03-09",39400000,25000000,"en","Hypochondriac Joe Banks finds out he has six months to live, quits his dead end job, musters the courage to ask his co-worker out on a date, and is then hired to jump into a volcano by a mysterious visitor.","Comedy, Romance"
"Pretty Woman",7.5,"1990-03-23",463406268,14000000,"en","When a millionaire wheeler-dealer enters a business contract with a Hollywood hooker Vivian Ward, he loses his heart in the bargain.","Comedy, Romance"
"Dances with Wolves",7.848,"1990-03-30",424200000,22000000,"en","Wounded Civil War soldier, John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.","Adventure, Drama, Western"
"Class of 1999",6.002,"1990-04-01",2459895,5200000,"en","The time is in the future and the youth gang violence is so high that the areas around some schools have become """"free-fire zones"""", into which not even the police will venture. When Miles Langford, the head of Kennedy High School, decides to take his school back from the gangs, robotics specialist Dr. Robert Forrest provides """"tactical education units"""". These are amazingly human-like androids that have been programmed to teach and are supplied with devastatingly effective solutions to discipline problems. So when the violent, out-of-control students of Kennedy High report for class tomorrow, they're going to get a real education... in staying alive!","Science Fiction, Action"
"Cry-Baby",6.554,"1990-04-06",8266343,11000000,"en","A prim and proper schoolgirl goes against her society grandmother's wishes when she dates a motorcycle-riding juvenile delinquent.","Comedy, Romance"
"Tales from the Darkside: The Movie",6.215,"1990-05-03",16324573,3500000,"en","A young boy tells three stories of horror to distract a witch who plans to eat him.","Thriller, Comedy, Fantasy, Horror"
"White Hunter, Black Heart",6.309,"1990-05-16",2300000,24000000,"en","Renowned filmmaker John Wilson travels to Africa to direct a new movie, but constantly leaves to hunt elephants and other game, to the dismay of his cast and crew. He eventually becomes obsessed with hunting down and killing one specific elephant.","Adventure, Drama"
"Bird on a Wire",6.193,"1990-05-18",138700000,20000000,"en","An FBI informant has kept his new identity secret for 15 years. Now an old flame has recognised him, and the bad guys are back for revenge.","Action, Adventure, Comedy, Romance"
"Gate II",5.435,"1990-05-24",2032973,6500000,"en","It's been five years since Terry's friend Glen discovered The Gate to hell in his backyard. Glen has now moved away and Terry begins practicing rituals in Glen's old house and eventually bringing back demons through The Gate and leading to demoniac possession and near world domination.","Horror, Fantasy"
"Back to the Future Part III",7.471,"1990-05-25",244527583,40000000,"en","The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.","Adventure, Comedy, Science Fiction"
"The Witches",6.918,"1990-05-25",15400000,11000000,"en","A young boy named Luke and his grandmother go on vacation only to discover their hotel is hosting an international witch convention, where the Grand High Witch is unveiling her master plan to turn all children into mice. Will Luke fall victim to the witches' plot before he can stop them?","Fantasy, Horror, Comedy, Family"
"Frankenhooker",6.183,"1990-06-01",205068,2500000,"en","A medical school dropout loses his fiancée in a tragic lawnmower incident and decides to bring her back to life. Unfortunately, he was only able to save her head, so he goes to the red light district in the city and lures prostitutes into a hotel room so he can collect body parts to reassemble her.","Comedy, Horror, Science Fiction"
"Total Recall",7.298,"1990-06-01",261317921,65000000,"en","Construction worker Douglas Quaid's obsession with the planet Mars leads him to visit Recall, a company who manufacture memories. Something goes wrong during his memory implant turning Doug's life upside down and even to question what is reality and what isn't.","Action, Adventure, Science Fiction"
"Lionheart",6.5,"1990-06-07",24271196,6000000,"en","Lyon Gaultier is a deserter in the Foreign Legion arriving in the USA entirely hard up. He finds his brother between life and death and his sister-in-law without the money needed to heal her husband and to maintain her child. To earn the money needed, Gaultier decides to take part in some very dangerous clandestine fights.","Action"
"Another 48 Hrs.",5.986,"1990-06-08",153518974,38000000,"en","For the past four years, San Francisco cop Jack Cates has been after an unidentified drug kingpin who calls himself the Ice Man. Jack finds a picture that proves that the Ice Man has put a price on the head of Reggie Hammond, who is scheduled to be released from prison on the next day.","Thriller, Action, Comedy, Crime, Drama"
"Gremlins 2: The New Batch",6.421,"1990-06-15",41482207,50000000,"en","Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!","Comedy, Horror, Fantasy"
"RoboCop 2",5.986,"1990-06-22",45681173,35000000,"en","After a successful deployment of the RoboCop Law Enforcement unit, OCP sees its goal of urban pacification come closer and closer, but as this develops, a new narcotic known as ""Nuke"" invades the streets led by God-delirious leader Cane. As this menace grows, it may prove to be too much for Murphy to handle. OCP tries to replicate the success of the first unit, but ends up with failed prototypes with suicidal issues... until Dr. Faxx, a scientist straying away from OCP's path, uses Cane as the new subject for the RoboCop 2 project, a living God.","Action, Adventure, Crime, Science Fiction, Thriller"
"Days of Thunder",6.4,"1990-06-27",157920733,60000000,"en","Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear.","Adventure, Action, Drama"
"Ghost Dad",5.1,"1990-06-29",25421633,30000000,"en","Elliot Hopper, a widower with three children, is working on a business deal to get his family out of financial straits when he is suddenly killed in a taxi accident. With the aid of a paranormal researcher, Elliott attempts to complete the deal from the beyond, ensuring his family will be taken care of.","Comedy, Family, Fantasy"
"Die Hard 2",6.942,"1990-07-03",240031094,70000000,"en","Off-duty cop John McClane is gripped with a feeling of déjà vu when, on a snowy Christmas Eve in the nation’s capital, terrorists seize a major international airport, holding thousands of holiday travelers hostage. Renegade military commandos led by a murderous rogue officer plot to rescue a drug lord from justice and are prepared for every contingency except one: McClane’s smart-mouthed heroics.","Action, Thriller"
"The Adventures of Ford Fairlane",6,"1990-07-11",20423389,49000000,"en","To the Los Angeles elite, Ford Fairlane is known as """"Mr. Rock 'n' Roll Detective."""" This loudmouthed ladies' man serves an exclusive rock star clientele, who depend on his keen eye and smug discretion. So when a heavy-metal musician dies mid-concert, Fairlane is on the case before the lights come up. But things turn shocking when radio personality Johnny Crunch hires Fairlane to find a missing groupie mere hours before he is electrocuted live on air.","Action, Comedy, Thriller, Crime, Mystery"
"Ghost",7.2,"1990-07-13",505000000,22000000,"en","After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.","Fantasy, Drama, Thriller, Mystery, Romance"
"Quick Change",6.694,"1990-07-13",15260154,15000000,"en","With the aid of his girlfriend, Phyllis Potter, and best friend, Loomis, Grimm enters a Manhattan bank dressed as a clown, creates a hostage situation and executes a flawless robbery. The only thing left for the trio to do is make their getaway out of the city and to the airport. It sounds simple enough, but it seems that fate deserts them immediately after the bank heist. One mishap after another conspires to keep these robbers from reaching freedom.","Comedy, Crime"
